"","chapter","location","country","continent","afinn_score","bing_score","nrc_score","journey_stage"
"195",28,"Reform Club","United Kingdom","Europe",-0.316666666666667,-0.339130434782609,0.212121212121212,"Asia"
"196",28,"San Francisco","United States","North America",-0.316666666666667,-0.339130434782609,0.212121212121212,"Asia"
"197",28,"New York","United States","North America",-0.316666666666667,-0.339130434782609,0.212121212121212,"Asia"
"198",28,"America","United States","North America",-0.316666666666667,-0.339130434782609,0.212121212121212,"Asia"
"199",29,"San Francisco","United States","North America",-0.0618556701030928,-0.0526315789473684,0.171974522292994,"Asia"
"200",29,"New York","United States","North America",-0.0618556701030928,-0.0526315789473684,0.171974522292994,"Asia"
"201",29,"America","United States","North America",-0.0618556701030928,-0.0526315789473684,0.171974522292994,"Asia"
"202",30,"San Francisco","United States","North America",-0.827272727272727,-0.491803278688525,-0.0177514792899408,"Asia"
"203",30,"New York","United States","North America",-0.827272727272727,-0.491803278688525,-0.0177514792899408,"Asia"
"204",31,"China","China","Asia",0.0142857142857143,-0.0909090909090909,0.0625,"Asia"
"205",31,"New York","United States","North America",0.0142857142857143,-0.0909090909090909,0.0625,"Asia"
"206",31,"Liverpool","United Kingdom","Europe",0.0142857142857143,-0.0909090909090909,0.0625,"Asia"
"207",32,"London","United Kingdom","Europe",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"208",32,"Hong Kong","Hong Kong","Asia",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"209",32,"China","China","Asia",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"210",32,"New York","United States","North America",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"211",32,"Liverpool","United Kingdom","Europe",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"212",32,"Havre","United Kingdom","Europe",-0.366666666666667,0.0232558139534884,0.306666666666667,"Asia"
"213",33,"London","United Kingdom","Europe",-0.358490566037736,-0.0884353741496599,0.229166666666667,"Asia"
"214",33,"New York","United States","North America",-0.358490566037736,-0.0884353741496599,0.229166666666667,"Asia"
"215",33,"Liverpool","United Kingdom","Europe",-0.358490566037736,-0.0884353741496599,0.229166666666667,"Asia"
"216",34,"London","United Kingdom","Europe",-0.580645161290323,-0.21875,0.010752688172043,"Asia"
"217",34,"Reform Club","United Kingdom","Europe",-0.580645161290323,-0.21875,0.010752688172043,"Asia"
"218",34,"Liverpool","United Kingdom","Europe",-0.580645161290323,-0.21875,0.010752688172043,"Asia"
"219",35,"Reform Club","United Kingdom","Europe",-0.36986301369863,-0.036144578313253,0.0655737704918033,"Asia"
"220",35,"India","India","Asia",-0.36986301369863,-0.036144578313253,0.0655737704918033,"Asia"
"221",35,"Liverpool","United Kingdom","Europe",-0.36986301369863,-0.036144578313253,0.0655737704918033,"Asia"
"222",36,"London","United Kingdom","Europe",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"223",36,"Reform Club","United Kingdom","Europe",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"224",36,"Pall Mall","United Kingdom","Europe",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"225",36,"China","China","Asia",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"226",36,"New York","United States","North America",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"227",36,"America","United States","North America",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"228",36,"Liverpool","United Kingdom","Europe",-0.525,-0.24,-0.0277777777777778,"Pacific/America"
"229",37,"London","United Kingdom","Europe",0.666666666666667,0.153846153846154,0.361111111111111,"Pacific/America"
"230",37,"Reform Club","United Kingdom","Europe",0.666666666666667,0.153846153846154,0.361111111111111,"Pacific/America"
"231",37,"India","India","Asia",0.666666666666667,0.153846153846154,0.361111111111111,"Pacific/America"
